network_size,centrality_measure,base_network,10rem_nodes_mean,10rem_nodes_SD,10rem_edges_mean,10rem_edges_SD,10rempropor_edges_mean,10rempropor_edges_SD,10add_edges_mean,10add_edges_SD,30rem_nodes_mean,30rem_nodes_SD,30rem_edges_mean,30rem_edges_SD,30rempropor_edges_mean,30rempropor_edges_SD,30add_edges_mean,30add_edges_SD
original,degree,Jazz,0.9611824529,0.009173871969,0.9542912289,0.003386342527,0.9562982848,0.003419709899,0.9504164749,0.003653929976,0.9121863947,0.01939810922,0.8986287117,0.006984543858,0.8886976602,0.007986644978,0.9027767534,0.006509473504
original,eigenvector,Jazz,0.9382755903,0.02681635142,0.9489810371,0.004159392068,0.9453598781,0.0046859471,0.9397356659,0.005502976598,0.870388386,0.06397696946,0.897555259,0.008039063923,0.8804775376,0.01363201937,0.8778686774,0.009217886441
original,pagerank,Jazz,0.9465769209,0.006826706804,0.9311124032,0.005105970261,0.9389509216,0.004098767966,0.8978610064,0.005293846773,0.8885690495,0.0161541529,0.8616653773,0.009047569867,0.8647649924,0.008006863936,0.8449859876,0.007727945968
original,degree,Dolphins,0.9159569682,0.02053507826,0.918513682,0.01130442809,0.9196097418,0.01188896947,0.9,0.011,0.8004617643,0.04021174898,0.7949638671,0.02519679635,0.7747448737,0.02875675235,0.8,0.024
original,eigenvector,Dolphins,0.7994642584,0.2165632782,0.8753637901,0.03566563303,0.8666743099,0.05207763757,0.85,0.05,0.5694313356,0.3738540719,0.7153842469,0.1487420201,0.615946246,0.2640189509,0.7,0.063
original,pagerank,Dolphins,0.8693221108,0.02177157332,0.8682050823,0.01532388669,0.873777458,0.0142489017,0.82,0.016,0.7419673208,0.04247381521,0.7225227066,0.02870865009,0.7139052832,0.02835605259,0.7,0.026
